datetime,city,state,country,shape,duration,comments,latitude,longitude,region,us_region
26/12/2004 20:00,green lake,WI,US,light,37800,Very bright object low in the evening sky that seemed to spin while emitting light in many different colors.,43.8441667,-88.96,US,Midwest
26/12/2004 22:30,thong nai pan (koh phan gan)(thailand),ASIA,TH,light,2700,Whilst holidaying on the island of Koh Phangan Thailand 10 of us witnessed an extra large red pulsating star like object in the sky(we,16.414106,99.771069,Asia,ASIA
26/12/2005 21:50,peachland (canada),AMERICA,CA,other,600,Ultrabright light travelling at high speeds and dancing in the sky,49.766667,-119.75,America,AMERICA
26/12/2006 22:30,oklahoma city,OK,US,flash,120,A bright white light flashed in the sky&#44 and a dark object flew away from where the light source had been.,35.4675,-97.5161111,US,Southeast
26/12/2009 16:35,tacoma,WA,US,light,900,3 bright lights in triangle pattern  hovering in sky,47.2530556,-122.4430556,US,West
26/12/2009 20:00,bedford (uk/england),EUROPE,GB,egg,120,Red Craft,52.133333,-0.45,Europe,EUROPE
26/12/2010 0:00,dnepropetrovsk (ukraine),EUROPE,UA,disk,300,Two flying saucer type of objects sighted at night by two women in large city in Ukraine near Russian border,48.464717,35.046183,Europe,EUROPE
26/12/2010 4:45,oakland,CA,US,fireball,45,Fireball in Oakland California,37.8044444,-122.2697222,US,West
26/12/2010 18:45,burlington (canada),AMERICA,CA,rectangle,300,5 lights in sky in Burlington&#44 Ontario Boxing Day,43.316667,-79.8,America,AMERICA
26/12/2011 1:06,brooksville,FL,US,changing,900,Multi Colored/Shape Shifting Bright lighted UFO sighting on 12/26/11 in Brooksville &#44 FL,28.555,-82.3880556,US,Southeast
26/12/2011 20:25,queensbury,NY,US,circle,180,2 red flying circles fade away and reappear,43.3772222,-73.6136111,US,Northeast
26/12/2011 21:15,buffalo,NY,US,formation,10,Four dimly lit triangular objects whistle as they pass low over Buffalo&#44 NY,42.8863889,-78.8786111,US,Northeast
26/12/2011 21:30,morganton,NC,US,circle,300,4 Red and orange pulsating circle objects slowly ascending till disapear.,35.7452778,-81.685,US,Southeast
26/12/2012 8:00,hlawatha,IA,US,oval,60,Oval flashing in the sky.  ((NUFORC Note:  Possible sighting of Sirius??  PD)),42.049196,-91.681525,US,Midwest
26/12/2012 20:00,oceano,CA,US,rectangle,5,Huge rectangle crossed the sky.,35.0988889,-120.6113889,US,West
26/12/2012 22:14,murfreesboro,TN,US,unknown,5,Heard a very loud whoosh noise.,35.8455556,-86.3902778,US,Southeast
26/12/2013 17:05,puyallup,WA,US,other,180,4 bright objects in the sky above downtown puyallup.,47.1855556,-122.2916667,US,West
